Juan Abamillo,SGT,Texas,fatality
James L. Allen,PVT,Kentucky,survivor
Robert Allen,PVT,Virginia,fatality
Horace Alsbury,PVT,Kentucky,survivor
George Andrews,--,--,fatality
Miles DeForest Andross,PVT,Vermont,fatality
José María Arocha,--,--,survivor
Simon Arreola,--,--,survivor
Micajah Autry,PVT,North Carolina,fatality
Jesse B. Badgett,--,Texas,survivor
Juan A. Badillo,SGT,Texas,fatality
Peter James Bailey III,PVT,Kentucky,fatality
Isaac G. Baker,PVT,Arkansas,fatality
William Charles M. Baker,CPT,Missouri,fatality
John Ballard,--,--,fatality
John J. Ballentine,PVT,Pennsylvania,fatality
Richard W. Ballentine, PVT, Scotland,fatality
Andrew Barcena,--,--,survivor
Samuel G. Bastain,--,Louisiana,survivor
John J. Baugh,CPT,Virginia,fatality
Joseph Bayliss,PVT,Tennessee,fatality
John Walker Baylor Jr.,PVT,Kentucky,survivor
Anselmo Bergara,--,Mexico,survivor
John Blair,PVT,Tennessee,fatality
Samuel Blair,CPT,Tennessee,fatality
William Blazeby,CPT,England,fatality
James Bonham,2LT,South Carolina,fatality
Daniel Bourne,PVT,England,fatality
James Bowie,COL,Kentucky,fatality
J. B. Bowman,--,--,fatality
Robert Brown,PVT,--,survivor
James Buchanan,PVT,Alabama,fatality
Samuel E. Burns,PVT,Ireland,fatality
George D. Butler,PVT,Missouri,fatality
John Cain,PVT,Pennsylvania,fatality
Robert Campbell,LT,Tennessee,fatality
William R. Carey,CPT,Virginia,fatality
Cesario Carmona,--,--,survivor
M.B. Clark,PVT,Mississippi,fatality
Daniel W. Cloud,PVT,Kentucky,fatality
Robert E. Cochran,PVT,New Hampshire,fatality
George Washington Cottle,LT,Missouri,fatality
Henry Courtman,PVT,Germany,fatality
Lemuel Crawford,PVT,South Carolina,fatality
David Crockett,COL,Tennessee,fatality
Robert Crossman,PVT,Pennsylvania,fatality
Antonio Cruz y Arocha,PVT,Mexico,survivor
David P. Cummings,PVT,Pennsylvania,fatality
Robert Cunningham,PVT,New York,fatality
Matias Curvier,--,--,survivor
Jacob C. Darst,LT,Kentucky,fatality
John Davis,PVT,Kentucky,fatality
Freeman H.K. Day,PVT,--,fatality
Squire Daymon,PVT,Tennessee,fatality
Alexandro De la Garza,PVT,Texas,survivor
William Dearduff,PVT,Tennessee,fatality
N. Debichi,--,--,fatality
Stephen Dennison,PVT,England or Ireland,fatality
Francis L. DeSauque,CPT,Pennsylvania,survivor
John Desauque,--,Louisiana,fatality
Charles Despallier,PVT,Louisiana,fatality
Lewis Dewall,PVT,New York,fatality
Almaron Dickinson,CPT,Tennessee,fatality
James Dickson,--,--,fatality
